Last Name,First Name,VIAF,Wikipedia Entry,"Born/
Letchworth,,,https://en.wikipedia.org/wiki/Letchworth,,,No,1903,,
Lethaby,William,,https://en.wikipedia.org/wiki/William_Lethaby,1/18/1857,7/17/1931,No,1899,,
Lewerentz,Sigurd,,https://en.wikipedia.org/wiki/Sigurd_Lewerentz,7/29/1885,12/29/1975,No,1958,,
Libera,Adalberto,,https://en.wikipedia.org/wiki/Adalberto_Libera,7/16/1903,3/17/1963,No,1939,,
Libeskind,Daniel,,https://en.wikipedia.org/wiki/Daniel_Libeskind,5/12/1946,,Yes,2001,,
Lin,Maya,,https://en.wikipedia.org/wiki/Maya_Lin,10/5/1959,,Yes,1986,,
Lissitzky,El ,,https://en.wikipedia.org/wiki/El_Lissitzky,11/24/1890,12/30/1941,No,1919,,
Lofam,,,,,,No,1945,,
Loos,Adolf,,https://en.wikipedia.org/wiki/Adolf_Loos,12/10/1870,8/23/1933,No,1903,,
Lovins,Amory,,https://en.wikipedia.org/wiki/Amory_Lovins,11/13/1947,,No,1996,,
Lucrat,Andre,,https://en.wikipedia.org/wiki/Andr%C3%A9_Lur%C3%A7at,8/27/1894,7/11/1970,No,1929,,
Lutyens,Edwin,,https://en.wikipedia.org/wiki/Edwin_Lutyens,3/29/1869,1/1/1944,No,"1916, 1914",,
Lyyn,Greg,,https://en.wikipedia.org/wiki/Greg_Lynn,1964,,No,2002,,
MacCormac,Richard,,https://en.wikipedia.org/wiki/Richard_MacCormac,9/3/1938,7/26/2014,No,1987,,
Mackintosh,Charles,,https://en.wikipedia.org/wiki/Charles_Rennie_Mackintosh,6/7/1868,12/10/1928,No,"1904, 1905",,
Maekawa,Kunio,,https://en.wikipedia.org/wiki/Kunio_Maekawa,5/14/1905,6/26/1986,No,1957,,
Maillart,Robert,,https://en.wikipedia.org/wiki/Robert_Maillart,2/16/1872,4/5/1940,No,1900,,
Maki,Fumihiko,,https://en.wikipedia.org/wiki/Fumihiko_Maki,9/6/1928,6/6/2024,Yes,1990,,
Makim MW,,,,,,No,1900,,
Makovecz,Imre,,https://en.wikipedia.org/wiki/Imre_Makovecz,11/20/1935,9/27/2011,No,1997,,
Maldonado,Tomás,,https://en.wikipedia.org/wiki/Tom%C3%A1s_Maldonado,4/25/1922,11/26/2018,Yes,1963,,
May,Ernst,,https://en.wikipedia.org/wiki/Ernst_May,7/27/1886,9/11/1970,No,1924,,
Maybeck,Bernard,,https://en.wikipedia.org/wiki/Bernard_Maybeck,2/7/1862,10/3/1957,Yes,1908,,
McHale,John,,https://en.wikipedia.org/wiki/John_McHale_(artist),8/19/1922,11/2/1978,Yes,1972,,
Mecanoo,,,https://en.wikipedia.org/wiki/Mecanoo,1984,,No,1995,,
Meier,Richard,,https://en.wikipedia.org/wiki/Richard_Meier,10/12/1934,,Yes,"1973, 2002",,
Melnikov,Konstantin,,https://en.wikipedia.org/wiki/Konstantin_Melnikov,08/03/1890,11/28/1974,No,1926,,
Mendelsohn,Erich,,https://en.wikipedia.org/wiki/Erich_Mendelsohn,03/21/1887,09/15/1953,No,1923,,
Mewes,Charles,,https://en.wikipedia.org/wiki/Charles_Mew%C3%A8s,1/30/1858,8/9/1914,No,1910,,
Meyer,Hannes,,https://en.wikipedia.org/wiki/Hannes_Meyer,11/18/1889,7/19/1954,No,1930,,
Michelucci,Giovanni,,https://en.wikipedia.org/wiki/Giovanni_Michelucci,1/2/1891,12/31/1990,No,"1942, 1961",,
Mies van der Rohe,Ludwig ,,https://en.wikipedia.org/wiki/Ludwig_Mies_van_der_Rohe,3/27/1886,8/17/1969,No,"1921, 1956",,
Milton Keyens,,,https://en.wikipedia.org/wiki/Milton_Keynes,1/23/1967,,No,1973,,
Miralles,Enric,,https://en.wikipedia.org/wiki/Enric_Miralles,2/12/1955,7/3/2000,Yes,1991,,
Moholy-Nagy,Laszlo,,https://en.wikipedia.org/wiki/L%C3%A1szl%C3%B3_Moholy-Nagy,7/20/1895,11/24/1946,No,1930,,
Moisei,Ginzburg,,https://en.wikipedia.org/wiki/Moisei_Ginzburg,6/4/1892,1/7/1946,No,1929,,
Moneo,Rafael,,https://en.wikipedia.org/wiki/Rafael_Moneo,5/9/1937,,Yes,1992,,
Moore,Charles (Willard),,https://en.wikipedia.org/wiki/Charles_Moore_(architect),10/31/1925,12/16/1993,Yes,1970,,
Moore,Charles Herbert,,https://en.wikipedia.org/wiki/Charles_Herbert_Moore,4/10/1840,2/15/1930,Yes,,,
Morandi,Giorgio,,https://en.wikipedia.org/wiki/Giorgio_Morandi,7/20/1890,6/18/1964,No,1953,,
Moser,Karl,,https://en.wikipedia.org/wiki/Karl_Moser,8/10/1860,2/28/1936,No,1909,,
Moss,Eric Owen,,https://en.wikipedia.org/wiki/Eric_Owen_Moss,7/25/1943,,Yes,1989,,
Mozuma,,,"https://en.wikipedia.org/wiki/Mazuma,_Nevada",,,,2001,,
Muthesius,Hermann,,https://en.wikipedia.org/wiki/Hermann_Muthesius,4/20/1861,10/29/1927,No,"1907, 1913",,
Muzio,Giovanni,,https://en.wikipedia.org/wiki/Giovanni_Muzio,2/12/1893,5/21/1982,No,1936,,
Navarro,Agustin,,https://en.wikipedia.org/wiki/Agust%C3%ADn_Hern%C3%A1ndez_Navarro,2/29/1924,11/10/2022,No,1997,,
Nervi,Pier Luigi,,https://en.wikipedia.org/wiki/Pier_Luigi_Nervi,6/21/1891,1/9/1979,No,"1921, 1955",,
Neumann,Alfred,,https://en.wikipedia.org/wiki/Alfred_Neumann_(architect),1/26/1900,10/23/1968,No,1957,,
Neutra,Richard,,https://en.wikipedia.org/wiki/Richard_Neutra,4/8/1892,4/16/1970,Yes,1951,,
Niemeyer,Oscar,,https://en.wikipedia.org/wiki/Oscar_Niemeyer,12/15/1907,12/5/2012,No,"1955, 1964",,
Norberg-Schulz,Christian,,https://en.wikipedia.org/wiki/Christian_Norberg-Schulz,5/23/1926,3/28/2000,Yes,1973,,
Norton,,,,,,No,2002,,
Nouvel,Jean,,https://en.wikipedia.org/wiki/Jean_Nouvel,8/12/1945,,Yes,"1987, 1992",,
Nowicki,Maciej,,https://en.wikipedia.org/wiki/Maciej_Nowicki_(architect),06/26/1910,09/01/1950,No,1950,,
Spuybroek,Lars,,https://en.wikipedia.org/wiki/Lars_Spuybroek,9/16/1959,,No,2003,,
Olbrich,Joseph Maria,,https://en.wikipedia.org/wiki/Joseph_Maria_Olbrich,12/22/1867,9/8/1908,No,1901,,
Osa,,,https://en.wikipedia.org/wiki/OSA_Group,1925,1930,No,1926,,
Ostberg,Ragnar,,https://en.wikipedia.org/wiki/Ragnar_%C3%96stberg,7/14/1866,2/5/1945,No,1919,,
Oud,J.J.,,https://en.wikipedia.org/wiki/J._J._P._Oud,2/9/1890,4/5/1963,No,1922,,
Outram,John,,https://en.wikipedia.org/wiki/John_Outram,6/21/1934,,No,1980,,
Parker,Richard Barry,,https://en.wikipedia.org/wiki/Richard_Barry_Parker,11/18/1867,2/21/1947,No,1910,,
Pattern Language,,,https://en.wikipedia.org/wiki/A_Pattern_Language,1977,,No,1986,,
Pawson,John,,https://en.wikipedia.org/wiki/John_Pawson,1949,,Yes,1980,,
Pei,I M,,https://en.wikipedia.org/wiki/I._M._Pei,4/26/1917,5/16/2019,No,1979,,
Peichl,Gustav,,https://en.wikipedia.org/wiki/Gustav_Peichl,3/18/1928,11/17/2019,No,1977,,
Pelli,Cesar,,https://en.wikipedia.org/wiki/C%C3%A9sar_Pelli,10/12/1926,7/19/2019,Yes,"1989, 1997",,
Perrault,Dominique,,https://en.wikipedia.org/wiki/Dominique_Perrault,4/9/1953,,Yes,1993,,
Perrella,Stephen,,https://www.archpaper.com/2008/03/stephen-perrella-1956-2008/,,,No,1999,,
Perret,Auguste,,https://en.wikipedia.org/wiki/Auguste_Perret,2/12/1874,2/25/1954,No,1901,,
PESSAC,,,,,,No,1923,,
Piacentini,Marcello,,https://en.wikipedia.org/wiki/Marcello_Piacentini,12/8/1881,5/19/1960,No,1942,,
Piano,Renzo,,https://en.wikipedia.org/wiki/Renzo_Piano,9/14/1937,,No,"1962, 1992",,
Pietilä,Reima,,https://en.wikipedia.org/wiki/Reima_and_Raili_Pietil%C3%A4,8/25/1923,8/26/1993,No,1972,,
Pite,Arthur Beresford,,https://en.wikipedia.org/wiki/Arthur_Beresford_Pite,9/2/1861,11/27/1934,No,1909,,
Poelzig,Hans,,https://en.wikipedia.org/wiki/Hans_Poelzig,04/30/1869,06/14/1936,No,1914,,
Poliakov,Léon,,https://en.wikipedia.org/wiki/L%C3%A9on_Poliakov,11/25/1910,12/8/1997,Yes,1948,,
Ponti,Gio,,https://en.wikipedia.org/wiki/Gio_Ponti,11/18/1891,9/16/1979,Yes,1949,,
Porphyrios,Demetri,,https://en.wikipedia.org/wiki/Demetri_Porphyrios,1949,,No,1998,,
Predock,Antoine,,https://en.wikipedia.org/wiki/Antoine_Predock,6/24/1936,3/2/2024,Yes,1992,,
Price,Cedric,,https://en.wikipedia.org/wiki/Cedric_Price,9/11/1934,8/10/2003,Yes,1961,,
Prince,Bart,,https://en.wikipedia.org/wiki/Bart_Prince,6/24/1947,,No,1974,,
Prior,Edward Schroeder,,https://en.wikipedia.org/wiki/Edward_Schroeder_Prior,1/4/1812,8/19/1932,No,1908,,
PRix,Wolf Dieter,,https://en.wikipedia.org/wiki/Wolf_Dieter_Prix,12/13/1942,,No,1993,,
Prouvé,Jean,,https://en.wikipedia.org/wiki/Jean_Prouv%C3%A9,4/18/1901,3/23/1984,No,1960,,
Radburn,,,https://en.wikipedia.org/wiki/Radburn_design_housing,,,No,1930,,
Rainer,Arnulf,,https://en.wikipedia.org/wiki/Arnulf_Rainer,12/8/1929,,No,1953,,
Raymond,Antonin,,https://en.wikipedia.org/wiki/Antonin_Raymond,5/10/1888,10/25/1976,Yes,1934,,
Reidy,Affonso Eduardo,,https://en.wikipedia.org/wiki/Affonso_Eduardo_Reidy,10/26/1909,8/10/1964,Yes,1951,,
Rewal,Raj,,https://en.wikipedia.org/wiki/Raj_Rewal,11/24/1934,,Yes,1994,,
Bosco,Ricardo Velázquez,,https://en.wikipedia.org/wiki/Ricardo_Vel%C3%A1zquez_Bosco,3/21/1843,7/31/1923,No,1898,,
Rickards,Edwin Alfred,,https://en.wikipedia.org/wiki/E._A._Rickards,6/?/1872,8/29/1920,No,1900,,
Rietveld,Gerrit,,https://en.wikipedia.org/wiki/Gerrit_Rietveld,6/24/1888,6/25/1964,No,1926,,
Rimpl,Herbert,,https://de.wikipedia.org/wiki/Herbert_Rimpl,1/25/1902,6/2/1978,No,1935,,
Ritchie,Ian,,https://en.wikipedia.org/wiki/Ian_Ritchie_(architect),6/24/1947,,Yes,1993,,
Roche,Kevin,,https://en.wikipedia.org/wiki/Kevin_Roche,6/14/1922,3/1/2019,Yes,"1968, 1976",,
Rodchenko,Alexander,,https://en.wikipedia.org/wiki/Alexander_Rodchenko,12/05/1891,12/03/1956,No,1918,,
Rogers,Richard,,https://en.wikipedia.org/wiki/Richard_Rogers,7/23/1933,12/18/2021,No,"1971, 1993, 2001",,
Ronchamp,,,https://en.wikipedia.org/wiki/Ronchamp,,,No,1958,,
Rossi,Aldo,,https://en.wikipedia.org/wiki/Aldo_Rossi,5/3/1931,9/4/1997,Yes,"1976, 1985",,
Rowe,Colin,,https://en.wikipedia.org/wiki/Colin_Rowe,3/27/1920,11/5/1999,Yes,1980,,
Rudolph,Paul,,https://en.wikipedia.org/wiki/Paul_Rudolph_(architect),10/23/1918,8/8/1997,Yes,1953,,
"S,M,L,XL",,,"https://en.wikipedia.org/wiki/S,M,L,XL",10/31/1995,,No,1991,,
Saarinen,Eero,,https://en.wikipedia.org/wiki/Eero_Saarinen,8/20/1910,9/1/1961,Yes,"1952, 1956",,
Saarinen,Eliel,,https://en.wikipedia.org/wiki/Eliel_Saarinen,8/20/1873,7/1/1950,No,"1900, 1913",,
Sagebiel,Ernst,,https://en.wikipedia.org/wiki/Ernst_Sagebiel,10/2/1892,3/5/1970,No,1941,,
Sant-Elia,Antonio,,https://en.wikipedia.org/wiki/Antonio_Sant%27Elia,04/30/1888,10/10/1916,No,1914,,
Sartoris,Alberto,,https://fr.wikipedia.org/wiki/Alberto_Sartoris,2/2/1901,3/8/1998,No,1936,,
Sauvage,Henri,,https://en.wikipedia.org/wiki/Henri_Sauvage,05/10/1873,03/21/1932,No,1908,,
Scarpa,Carlo,,https://en.wikipedia.org/wiki/Carlo_Scarpa,6/2/1906,11/28/1978,Yes,1974,,
Scharoun,Hans,,https://en.wikipedia.org/wiki/Hans_Scharoun,9/20/1893,11/25/1972,Yes,1961,,
Scheerbart,Paul,,https://en.wikipedia.org/wiki/Paul_Scheerbart,01/08/1863,10/15/1915,No,1917,,
Schenzen,,,,,,No,1990,,
Schindler,Rudolph,,https://en.wikipedia.org/wiki/Rudolph_Schindler_(architect),09/10/1887,08/22/1953,No,1929,,
Schoeffer,Nicolas,,https://en.wikipedia.org/wiki/Nicolas_Sch%C3%B6ffer,6 September 1912,8 January 1992,No,1955,,
Schultes,Axel ,,https://de.wikipedia.org/wiki/Axel_Schultes,11/17/1943,,No,1993,,
Schultze-Naumburg,Paul,,https://en.wikipedia.org/wiki/Paul_Schultze-Naumburg,6/10/1869,5/19/1949,No,1930,,
Scogin,Mack,,https://msmearch.com/category/date/1980-1989,,,No,1980,,
Scott,Baillie,,https://en.wikipedia.org/wiki/Baillie_Scott,10/23/1865,2/10/1945,Yes,1906,,
Scully,Vincent,,https://en.wikipedia.org/wiki/Vincent_Scully,8/21/1920,11/30/2017,Yes,1970,,
Seifert,Richard,,https://en.wikipedia.org/wiki/Richard_Seifert,11/25/1910,10/26/2001,No,1970,,
Sejima,Kazuyo,,https://en.wikipedia.org/wiki/Kazuyo_Sejima,10/29/1956,,Yes,2000,,
Shaw,George R. ,,https://en.wikipedia.org/wiki/George_R._Shaw,10/28/1848,1/15/1937,Yes,1905,,
Shchusev,Alexey,,https://en.wikipedia.org/wiki/Alexey_Shchusev,10/8/1873,5/24/1949,No,1945,,
Shinohara,Kazuo,,https://en.wikipedia.org/wiki/Kazuo_Shinohara,4/2/1925,7/15/2006,Yes,1970,,
Simpson,John,,https://en.wikipedia.org/wiki/John_Simpson_(architect),11/9/1954,,Yes,2000,,
Simpson,John William,,https://en.wikipedia.org/wiki/John_William_Simpson,9/9/1858,3/30/1933,No,,,
Siza Vieria,Alvaro,,https://en.wikipedia.org/wiki/%C3%81lvaro_Siza_Vieira,6/25/1933,,No,1990,,
Soleri,Paolo,,https://en.wikipedia.org/wiki/Paolo_Soleri,6/21/1919,4/9/2013,Yes,1955,,
Sommaruga,Giuseppe,,https://en.wikipedia.org/wiki/Giuseppe_Sommaruga,1867,1917,No,1900,,
Soto,Jesús Rafael,,https://en.wikipedia.org/wiki/Jes%C3%BAs_Rafael_Soto,6/5/1923,1/17/2005,No,1947,,
Sottsass,Ettore,,https://en.wikipedia.org/wiki/Ettore_Sottsass,9/14/1917,12/31/2007,Yes,1985,,
Speer,Albert,,https://en.wikipedia.org/wiki/Albert_Speer,3/19/1905,9/1/1981,Yes,1935,,
Stam,Mart,,https://en.wikipedia.org/wiki/Mart_Stam,8/5/1899,2/21/1986,No,1935,,
Steiner,Rudolf,,https://en.wikipedia.org/wiki/Rudolf_Steiner,02/25/1861,03/30/1925,Yes,1925,,
Stern,Robert A. M. ,,https://en.wikipedia.org/wiki/Robert_A._M._Stern,5/23/1939,,Yes,"1970, 1985",,
Stirling,James,,https://en.wikipedia.org/wiki/James_Stirling_(architect),4/22/1926,6/25/1992,Yes,"1970, 1985",,
Stone,Edward Durell,,https://en.wikipedia.org/wiki/Edward_Durell_Stone,3/9/1902,8/6/1978,No,1963,,
Sullivan,Louis,,https://en.wikipedia.org/wiki/Louis_Sullivan,9/3/1856,4/14/1924,Yes,1900,,
Takamatsu,Shin,,https://en.wikipedia.org/wiki/Shin_Takamatsu,8/5/1948,,No,1990,,
Tange,Kenzo,,https://en.wikipedia.org/wiki/Kenz%C5%8D_Tange,9/4/1913,3/22/2005,Yes,2000,,
Tange,Kenzō,,https://en.wikipedia.org/wiki/Kenz%C5%8D_Tange,9/4/1913,3/22/2005,Yes,"1960, 1970",,
Tatlin,Vladimir,,https://en.wikipedia.org/wiki/Vladimir_Tatlin,12/28/1885,05/31/1953,No,1920,,
Taut,Bruno,,https://en.wikipedia.org/wiki/Bruno_Taut,04/04/1880,12/24/1938,Yes,"1910, 1930",,
Teague,Walter Dorwin,,https://en.wikipedia.org/wiki/Walter_Dorwin_Teague,12/18/1883,12/5/1960,Yes,1938,,
Terragni,Giuseppe,,https://en.wikipedia.org/wiki/Giuseppe_Terragni,4/18/1904,7/19/1943,No,1930,,
Terry,Quinlan,,https://en.wikipedia.org/wiki/Quinlan_Terry,7/24/1937,,Yes,1980,,
Tigerman,Stanley,,https://en.wikipedia.org/wiki/Stanley_Tigerman,9/20/1930,6/3/2019,No,1990,,
Torroja,Eduardo,,https://en.wikipedia.org/wiki/Eduardo_Torroja,8/27/1899,6/15/1961,No,1937,,
Troost,Paul,,https://en.wikipedia.org/wiki/Paul_Troost,8/17/1878,1/21/1934,No,1937,,
Tschumi,Bernard,,https://en.wikipedia.org/wiki/Bernard_Tschumi,1/25/1944,,Yes,1990,,
Tufaroli,Mario,,-,-,-,No,,,
Ungers,Oswald,,https://en.wikipedia.org/wiki/Oswald_Mathias_Ungers,7/12/1926,9/30/2007,No,1980,,
Unwin,Raymond,,https://en.wikipedia.org/wiki/Raymond_Unwin,11/2/1863,6/29/1940,No,1914,,
Utzon,Born,,https://en.wikipedia.org/wiki/J%C3%B8rn_Utzon,9 April 1918,29 November 2008,No,1970,,
Utzon,Jørn,,https://en.wikipedia.org/wiki/J%C3%B8rn_Utzon,4/9/1918,11/29/2008,No,1958,,
Valle,Gino,,https://it.wikipedia.org/wiki/Gino_Valle,12/7/1923,9/30/2003,No,1965,,
Van Alen,William,,https://en.wikipedia.org/wiki/William_Van_Alen,8/10/1883,5/24/1954,No,1930,,
van de Velde,Henry,,https://en.wikipedia.org/wiki/Henry_van_de_Velde,4/3/1863,10/15/1957,No,1910,,
van Doesburg,Theo,,https://en.wikipedia.org/wiki/Theo_van_Doesburg,8/30/1883,3/7/1931,No,1920,,
van Eyck,Aldo,,https://en.wikipedia.org/wiki/Aldo_van_Eyck,3/16/1918,1/14/1999,No,1965,,
Vandenhove,Charles,,https://en.wikipedia.org/wiki/Charles_Vandenhove,7/3/1927,1/22/2019,No,1990,,
Venturi,Robert,,https://en.wikipedia.org/wiki/Robert_Venturi,6/25/1925,9/18/2018,Yes,1970,,
Vesnin,Viktor,,https://en.wikipedia.org/wiki/Viktor_Vesnin,04/09/1882,09/17/1950,No,1925,,
Vinoly,Rafael,,https://en.wikipedia.org/wiki/Rafael_Vi%C3%B1oly,6/1/1944,3/2/2023,No,2000,,
von Gerkan,Meinhard,,https://en.wikipedia.org/wiki/Meinhard_von_Gerkan,1/3/1935,11/30/2022,Yes,1990,,
Voysey,C.F.A.,,https://en.wikipedia.org/wiki/C._F._A._Voysey,5/28/1857,2/12/1941,Yes,1905,,
Wachsmann,Konrad,,https://en.wikipedia.org/wiki/Konrad_Wachsmann,5/16/1901,11/25/1980,No,,,
Wagner,Otto,,https://en.wikipedia.org/wiki/Otto_Wagner,7/13/1841,4/11/1918,No,1900,,
Webb,Philip,,https://en.wikipedia.org/wiki/Philip_Webb,1/12/1831,4/17/1915,No,1915,,
Wilford,Michael ,,https://en.wikipedia.org/wiki/Michael_Wilford,9/9/1938,3/10/2023,No,1990,,
Williams,William Carlos,,https://en.wikipedia.org/wiki/William_Carlos_Williams,9/17/1883,3/4/1963,Yes,1933,,
Wood ,Cecil,,https://en.wikipedia.org/wiki/Cecil_Wood_(architect),6/6/1878,11/28/1947,No,1905,,
Woods,Lebbeus,,https://en.wikipedia.org/wiki/Lebbeus_Woods,5/31/1940,10/30/2012,Yes,1966,,
Wright,Frank Lloyd,,https://en.wikipedia.org/wiki/Frank_Lloyd_Wright,6/8/1867,4/9/1959,Yes,"1905, 1932, 1950",,
Yamasaki,Minoru,,https://en.wikipedia.org/wiki/Minoru_Yamasaki,12/1/1912,2/6/1986,No,1966,,
Yeang,Ken,,https://en.wikipedia.org/wiki/Ken_Yeang,10/6/1948,,Yes,"1995, 2000",,
Zevi,Bruno,,https://en.wikipedia.org/wiki/Bruno_Zevi,1/22/1918,1/9/2000,Yes,1956,,
Zholtovsky,Ivan,,https://en.wikipedia.org/wiki/Ivan_Zholtovsky,11/27/1867,7/16/1959,No,1945,,
Zumthor,Peter,,https://en.wikipedia.org/wiki/Peter_Zumthor,4/26/1943,,Yes,2002,,