Author,year
x3C Text Layer x3E  xA0 691,Missing
x3C Text Layer x3E  xA0 741,Missing
x31 927 Not in pursuit of an architectural idea x2C  but simply guided1,Missing
Zumthor -,2002
Zholtovsky -,1944
Zevi -,1954
YEANG -,2001
YEANG -,1998
Yamasaki -,1967
WRIGHT -,1953
WRIGHT -,1938
WRIGHT -,1932
WRIGHT -,1903
Woods -,1965
Wood -,1908
Williams -,1932
Wilford -,1932
WELWYN -,1904
Webb -,1916
WAGNER -,1901
Wachsmann -,1938
Voysey -,1907
Vopra -,1944
Von Gerken -,1993
Vinoly -,2001
Vesnin -,1923
VENTURI -,1968
Vandenhove -,1990
Van.Eyck -,1962
Van Doesburg -,1924
Van de Velde -,1908
Van Alen -,1928
Vallingby -,1950
Valle -,1963
Utzon -,1970
Utzon -,1958
Ushida-Findlay -,1997
Ungers -,1980
ULM -,1961
Tufaroli -,1948
Tschumi -,1992
Troost -,1936
Torroja -,1938
Tigerman -,1993
The Whites -,1967
TESSENOW -,1912
Terry -,1982
Terragni -,1931
Teague -,1938
Taut -,1929
Taut -,1910
Tatlin -,1919
Tange -,2000
Tange -,1972
Tange -,1960
Takasaki -,2001
Takamatsu -,1990
Sullivan -,1900
Stone -,1962
Stern -,1985
Stern -,1973
STIRLING -,1985
STIRLING -,1970
Steiner -,1924
Stam -,1932
Stadia -,1939
SPEER -,1937
Sottsass -,1986
Soto -,1947
Sommaruga -,1900
SOM -,1985
Soleri -,1953
Siza -,1991
Simpson -,2002
Short x2F Ford -,2002
Shoeffer -,1966
Shinohara -,1976
Shchusev -,1945
Shaw -,1905
Sejima -,2002
Seifert -,1970
Scully -,1972
Scott -,1906
Scogin -,1982
Schultze-Naumburg -,1932
Schultze-Fielitze -,1956
Schultes -,1993
SCHINDLER -,1929
Schenzen -,1990
Scheerbart -,1925
SCHAROUN -,1960
Scarpa -,1974
Sauvage -,1908
Sartoris -,1936
Sant-Elia -,1924
Sagebeil Kreis -,1941
Saarinen -,1956
Saarinen -,1952
Saarinen -,1913
Saarinen -,1900
S x2C M x2C L x2C XL -,1991
Rudolph -,1953
Rowe -,1980
ROSSI -,1985
Rossi -,1976
Ronchamp -,1958
ROGERS -,2001
ROGERS -,1993
ROGERS -,1971
Rodchenko -,1918
Roche -,1976
Roche -,1968
Ritchie -,1993
Rimpl -,1935
Rietveld -,1926
Ricardo -,1898
Rewal -,1994
Reidy -,1951
Raymond -,1934
Rainer -,1953
radburn -,1930
PROUVE -,1960
Prix -,1993
Prior -,1908
Prince -,1974
Price -,1961
Predock -,1992
Porphyrios -,1998
Ponti -,1949
Poliakov -,1948
Poelzig -,1923
Pite -,1909
Pietila -,1972
Piano -,1992
Piano -,1962
Piacentini -,1942
PESSAC -,1923
Perret -,1901
Perrella -,1999
Perrault -,1993
Pelli -,1997
Pelli -,1989
Peichl  Leo -,1977
Pei -,1979
PAWSON -,1980
Pattern Language -,1986
Parker  x26  Unwin -,1910
Outram -,1980
Oud -,1922
Otto -,1958
Ostberg -,1919
Osa -,1926
Olbrich -,1901
NOX -,2003
NOUVEL -,1992
Nouvel -,1987
Norwicki -,1950
Norton -,2002
Norberg-Schulz -,1973
Nikken Sekki -,1973
Niemeyer -,1964
Niemeyer-,1955
Neutra -,1951
Neumann -,1957
Nervi -,1955
Nervi -,1921
Navarro -,1997
Muzio -,1936
Muthesius -,1913
Muthesius -,1907
Mozuna -,2001
MOSS -,1989
Moser -,1909
Morandi -,1953
Moore -,1970
MONEO -,1992
Moholy-Nagy -,1930
Miralles -,1991
Milton Keynes -,1973
MIES -,1956
MIES -,1921
Michelucci -,1961
Michelucci -,1942
Meyer -,1930
Mewes  x26  Davies -,1910
Mendelsohn -,1923
Melnikov -,1926
MEIER -,2002
Meier -,1973
Mecanoo -,1995
McHale -,1972
Maybeck -,1908
Maya Lin -,1986
E.MAY & FRANKFURT,1924
Maldonado -,1963
Makovecz -,1997
Makim MW -,1900
MAKI -,1990
Maillart -,1900
Maekawa -,1957
Mackintosh -,1905
Mackintosh -,1904
MacCormac -,1987
Lynn -,2002
Lutyens  x26  Unwin -,1914
LUTYENS -,1916
Lucrat -,1929
Lovins -,1996
LOOS -,1903
lofam -,1945
Lissitzky -,1919
LIBESKIND -,2001
Libera -,1939
Lewerentz -,1958
Lethaby -,1899
Letchworth -,1903
Leonidov -,1923
Lemaresquier -,1933
Legoretta -,1988
Lechner -,1900
Le Ricolais -,1924
Le Corbusier -,1965
LE CORBUSIER -,1950
LE CORBUSIER -,1927
LE CORBUSIER -,1920
Lanchester  x26  Rickards -,1900
La Tendenza -,1977
KUROKAWA -,1992
Kurokawa -,1977
Kurokawa -,1962
Kroll -,1970
Krier -,1994
Krier -,1981
Kramer -,1917
KPF -,1985
Kotera -,1899
KOOLHAAS -,1986
Koenig -,1962
Koch -,1959
Klotz -,1938
Klint -,1922
Kitagawara -,1996
Kipnis -,2001
Kikutake -,1968
Keisler -,1959
Keisler -,1938
Karmi -,1993
Kallman -,1977
KAHN -,1966
Jourdain -,1905
Johnson -,1976
Johnson -,1952
Johansen -,1961
Johansen -,1960
Jiricna -,1993
Jerde -,1979
Jencks -,1992
JENCKS -,1973
Jacobs -,1961
ISOZAKI -,1973
Ishii -,1978
Hundertwasser -,1976
Howard x2C  Ebenezer -,1903
HORTA -,1902
Hopkins -,1985
Hopkins -,1979
HOOD -,1925
HOLLEIN -,1977
Holl -,1999
Holden -,1916
Hoffman -,1904
Hilberseimer -,1931
Herzog  x26  De-Meuron -,2002
Hertzberger -,1968
Hellerau -,1912
Hejduk -,1970
Hecker -,1989
Hauszinsteur -,1921
Hausserman -,1960
Hasegawa -,2002
Hasegawa -,1980
Harrison -,1961
HARRIS -,1941
Haring -,1922
Hara -,1996
Hampstead -,1912
Hadid -199,1990
Habraken -,1968
Gwathmy -,1975
Guimard -,1898
GROPIUS -,1927
Grimshaw -,1994
Grimshaw -,1977
Greene -,1962
Greene  x26  Greene -,1908
Graves -,1976
Gough -,1979
Goff -,1956
Gocar -,1903
Ginzburg -,1929
Ginzburg -,1927
Gill -,1919
Gilbert -,1918
Giedion -,1930
Gibberd -,1963
GEHRY -,1992
GEHRY -,1982
GEHRY -,1980
GAUDI -,1902
Garnier -,1903
Garnier -,1902
Gardella -,1955
Fuller -,1958
Fuller -,1929
Fuksas -,1993
Fromin -,1944
Friedman -,1960
Freyssinet -,1925
Frampton -,1985
FOSTER -,1971
FOSTER -,1998
FOA -,2002
Fisher -,1996
Fischer -,1909
Finsterlin -,1924
Ferris -,1926
Fathy -,1979
Ferrell -,1990
Evans -,1999
Erskine -,1971
Erskine -,1956
Erith -,1948
Endell -,1899
EISENMAN -,1987
EISENMAN -,1970
Eierman -,1961
Eames -195,1957
EAMES -,1956
E.WAKIL - 1985  x2A  x2A  x2A,1985
Duiker -,1929
Dudok -,1922
Doxiadis -,1962
Dominioni -,1959
Domenig -199,1990
Dolce Vita -,1968
Domenech -,1898
Dixon-Jones -,1998
Derrida -,1988
De Klerk -,1921
De Klerk -191,1914
de Finetti -,1939
De Carlo -,1965
de Baudot -,1902
Darmstadt Mathildenhohe - 1907  x2A  x2A  x2A,1907
Czech Cubists -191,1911
Cumbernauld -196,1965
Cret -192,1928
Costa -,1954
Correa -,1989
Coates -,1997
Clubs -,1996
Ciriani -,1999
Chiattone -191,1915
Chareau -,1930
Calatrava -,1980
Byker -,1977
BURNHAM -189,1898
Burnet -,1902
Brydon -,1910
BROOKES -,2002
Breuer -,1953
Bournville -,1902
Botta -,1988
Bonatz -,1910
Bolles-Wilson -,1997
B̦hm -,1968
Bohm -,1929
Bofill -,1982
Bloomfield -,1910
Bicknell -,1991
Berlage -,1898
Berg -,1918
Benson -,1998
Belluschi -,1958
Belcher -,1899
Bel Geddes -,1937
BEHRENS -,1907
Behnisch -,1995
Behnisch -,1982
Beeby -,1985
Bartning -,1925
Banham -,1978
Balmond -,1997
Baker -,1913
Bakema -,1955
Badran -,1989
Bacon -,1916
Aulenti -,1960
Asplund -,1913
Ashbee -,1908
Arups -,1975
Arups -,1960
Arquitectonica -,1987
Arquitectonica -,1980
ARM -,1992
ARAU -,1976
Arad -,1999
Andreau -,1997
ANDO -,1984
Alsop -,1996
Alexander -,1980
Albini -,1959
Alberts -,1980
Adams -,1993
AALTO -,1960
AALTO -,1932
AALTO -,1926
